fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
fcfp2;50;0.8481985926628113;0.8751661175489426;0.018431272549853932;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
hashtt;50;0.8508769273757935;0.8420542585849762;0.05418010629292575;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
eigenvals;0;0.6897758841514587;0.5364584593772889;0.05428629457569527;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 65, 'second_dropout': 0.0, 'third_neuron': 32, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
avalon;50;0.8623793721199036;0.8711821883916855;0.04340496652150198;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp4_maccs;50;0.8814781308174133;0.8935909525156022;0.02977002610293528;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
eigenvals;50;0.690330982208252;0.5001733362674713;0.00034670445842026175;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
rdk7;50;0.8782413005828857;0.8446499552726746;0.045398805446328225;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4;50;0.8599035143852234;0.8691250413656235;0.03757627946588661;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
rdk5;50;0.8916522860527039;0.8920628529787064;0.028894159768069094;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
fcfp4;50;0.8856379985809326;0.8717869414091111;0.04058454404533065;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
rdk6;50;0.897416353225708;0.8871688902378082;0.02572916990473809;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
maccs;0;0.8810713291168213;0.9041481947898865;0.021191030404012396;{'activation': 'relu', 'first_neuron': 83, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
ecfp6;50;0.8705252408981323;0.8361543684005738;0.05436941155040355;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
fcfp6;50;0.8603521585464478;0.8563653897047043;0.04468888714847212;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp0;50;0.858483076095581;0.8572111905813217;0.02116777273029546;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
hashap;50;0.8681573271751404;0.8576235260367393;0.047945748038142624;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
ecfp2;50;0.888182520866394;0.8851864051818847;0.02593278363188287;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
maccs;50;0.8635232448577881;0.8580762767791748;0.045088234680208304;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
