fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
maccs;0;0.7158424854278564;0.7464254647493362;0.054012521324130904;{'activation': 'relu', 'first_neuron': 41, 'first_dropout': 0.0, 'second_neuron': 41, 'second_dropout': 0.5, 'third_neuron': 41, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp4;50;0.6979604959487915;0.7338667865991593;0.05357055531097953;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
maccs;50;0.7062718272209167;0.7343703143596649;0.05296251877350236;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
fcfp2;50;0.719680905342102;0.7245461308956146;0.04218196085183366;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
fcfp4;50;0.7319779396057129;0.7108433661460877;0.048114505800660394;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
rdk7;50;0.7374928593635559;0.7378993017673492;0.04482827849517439;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
fcfp6;50;0.730599045753479;0.7581500989198685;0.0504133467411727;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
hashtt;50;0.7333654761314392;0.7503732484579086;0.048994657553571935;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
ecfp0;50;0.7357848882675171;0.7028056979179382;0.03158898730440253;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
rdk5;50;0.7252711057662964;0.6997559241056442;0.05671161676125427;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
avalon;50;0.742224931716919;0.7447263741493225;0.042508993658681125;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
eigenvals;50;0.6433700323104858;0.5067598085105419;0.02911912538458894;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
hashap;50;0.7567437887191772;0.7491327111721039;0.05053284689951248;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
rdk6;50;0.7546379566192627;0.7328781616687775;0.048987010538346316;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
